#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
330146,39.1495018,0.1216999963,0.1360010058,0.1350950003,0.01,36.71767807,-3.120553017,PS1,S,no
340334,41.22980118,0.1676999927,0.3059749901,0.3066599965,0.01,163.2630615,57.8063736,PS1,S,no
350047,40.55469894,0.1660999954,0.2329819947,0.2336200029,0.001,163.2619781,58.13634491,PS1,H,no
350078,41.28359985,0.1543000042,0.2999989986,0.3007799983,0.01,130.6626434,43.78414917,PS1,S,no
350083,41.3302002,0.1224000007,0.3670119941,0.3678149879,0,130.1380157,44.37387466,PS1,host lines in SN spectrum,no
350233,39.59680176,0.113499999,0.168046996,0.1693910062,0,149.4663239,3.482357979,PS1,host lines in SN spectrum,no
350316,37.67750168,0.1066000015,0.07899200171,0.07952400297,0,131.4690399,43.81884384,PS1,host lines in SN spectrum,no
350548,39.72249985,0.1142000034,0.1800319999,0.1807020009,0,128.8477783,44.91364288,PS1,host lines in SN spectrum,no
360112,39.68560028,0.1757999957,0.1799959987,0.180708006,0.001,130.6725159,43.5966301,PS1,H,no
360140,40.37189865,0.1603000015,0.230023995,0.2308540046,0.01,185.618042,47.71617508,PS1,S,no
360156,36.63010025,0.124499999,0.04503199831,0.04612699896,0,150.807251,1.895292044,PS1,host lines in SN spectrum,no
370098,40.12189865,0.1190000027,0.2200389951,0.2214519978,0.001,150.0063477,2.431106091,PS1,H,no
370308,39.88779831,0.2349999994,0.1999879926,0.200721994,0.001,131.3169098,43.38566589,PS1,H,no
370333,37.71120071,0.1185000017,0.07496400177,0.07547599822,0,164.380127,57.29774857,PS1,,no
370356,35.32339859,0.1444000006,0.0256939996,0.02692800015,0.01,183.4054565,46.4834671,PS1,S,no
370369,39.42110062,0.1738999933,0.1900289953,0.1914190054,0.01,151.56633,2.406872034,PS1,S,no
370428,39.70280075,0.1147999987,0.1770150065,0.1778189987,0,184.3748322,47.54821014,PS1,host lines in SN spectrum,no
370563,39.87360001,0.1171000004,0.1840340048,0.1854120046,0.001,150.9518433,2.646013975,PS1,H,no
380279,41.37450027,0.1388999969,0.3479419947,0.3494989872,0.001,149.8270264,2.934883118,PS1,H,no
380378,40.66540146,0.1119000018,0.2708080113,0.2713040113,0.001,213.5244904,53.46480942,PS1,H,no
390264,40.55619812,0.1149000004,0.2920390069,0.2921169996,0,243.3730011,53.99091721,PS1,host lines in SN spectrum,no
390471,41.16109848,0.1160999984,0.3700119853,0.3705430031,0.001,214.5198364,53.01397324,PS1,H,no
420100,38.18909836,0.1557999998,0.09748899937,0.09616500139,0,333.1053162,0.8514170051,PS1,host lines in SN spectrum,no
420159,39.61470032,0.1143999994,0.1819929928,0.180588007,0.001,333.6844788,1.217831016,PS1,H,no
420258,40.75590134,0.1442999989,0.2760260105,0.2744669914,0,352.4277649,0.7053610086,PS1,host lines in SN spectrum,no
420407,40.59780121,0.144600004,0.2465910017,0.2451120019,0.001,333.9490051,-0.3155170083,PS1,H,no
420417,41.24940109,0.2043000013,0.3629890084,0.3613739908,0,333.4952087,-0.191614002,PS1,host lines in SN spectrum,no
430004,40.26610184,0.1474999934,0.2330240011,0.2315199971,0.001,351.1130066,-0.7542440295,PS1,H,no
440008,39.25310135,0.1102000028,0.1469880044,0.1465460062,0,52.67347717,-28.86321068,PS1,host lines in SN spectrum,no
440042,39.52930069,0.1863999963,0.1600140035,0.1590750068,0.01,35.90213394,-3.293963909,PS1,S,no
440162,41.81100082,0.1525000036,0.4210210145,0.4192929864,0,353.2660522,-0.9126669765,PS1,host lines in SN spectrum,no
440509,41.0135994,0.1618999988,0.320021987,0.3189420104,0.01,34.84963989,-5.430366993,PS1,S,no
450175,42.34140015,0.2003999949,0.5199819803,0.5194039941,0.01,53.28644562,-28.08444214,PS1,S,no
460003,39.27880096,0.1137000024,0.1500180066,0.1506869942,0.01,128.8355103,43.85545731,PS1,S,no
460037,40.95240021,0.1629000008,0.3029609919,0.302493006,0.001,54.72696686,-27.54109764,PS1,H,no
460105,40.08769989,0.1729000062,0.2100149989,0.2107219994,0.001,129.3699036,44.04527283,PS1,H,no
470008,40.05759811,0.1552000046,0.2399799973,0.2395119965,0.01,53.08275986,-29.01378632,PS1,S,no
470041,41.09700012,0.1203999966,0.3310059905,0.3317959905,0,131.3375244,44.75479507,PS1,host lines in SN spectrum,no
470232,40.06439972,0.1658000052,0.2000290006,0.200714007,0.001,129.5458679,45.20227814,PS1,H,no
470244,41.5163002,0.1460999995,0.3600009978,0.3608149886,0.01,130.4077759,43.77150345,PS1,S,no
480064,40.69990158,0.1162,0.2420260012,0.2427390069,0,128.7965393,44.44820404,PS1,host lines in SN spectrum,no
480464,40.17010117,0.1606000066,0.2200430036,0.2214509994,0.001,149.8004303,3.221569061,PS1,H,no
490008,38.71630096,0.215200007,0.1200010031,0.1206720024,0.001,131.4485931,44.42060471,PS1,H,no
490521,41.2419014,0.1562000066,0.3400439918,0.3415899873,0.01,148.8651733,1.575294018,PS1,S,no
500004,40.37229919,0.1360000074,0.2499800026,0.2505039871,0,213.0233307,51.67388916,PS1,host lines in SN spectrum,no
500057,41.51649857,0.1351999938,0.3800219893,0.3805420101,0.01,214.4735413,53.84169006,PS1,S,no
500100,41.16619873,0.1454000026,0.3100120127,0.3107819855,0.001,131.6385193,45.35615158,PS1,H,no
500504,39.76620102,0.1339000016,0.1989990026,0.1994780004,0,212.459198,53.47779083,PS1,host lines in SN spectrum,no
510251,40.45349884,0.1629000008,0.2399629951,0.2400089949,0.001,244.4936829,55.74276352,PS1,H,no
510457,42.2344017,0.204400003,0.5020340085,0.5030320287,0.001,186.3888245,48.13686371,PS1,H,no
510578,41.45569992,0.1400000006,0.3700129986,0.3701319993,0.01,241.2325897,53.91212463,PS1,S,no
510638,40.70999908,0.1439999938,0.2699530125,0.2700130045,0.01,243.4693909,56.08424377,PS1,S,no
520019,40.73139954,0.1300999969,0.2630240023,0.2631199956,0,241.8611908,54.45780563,PS1,host lines in SN spectrum,no
520023,40.5646019,0.1666000038,0.267967999,0.2680079937,0,245.239151,55.15483093,PS1,host lines in SN spectrum,no
520062,41.29079819,0.1177999973,0.3079560101,0.3080129921,0.01,244.4513702,54.6333847,PS1,S,no
520077,40.72740173,0.1729000062,0.2499639988,0.250007987,0.01,244.6629333,55.68421555,PS1,S,no
520188,40.71699905,0.1125999987,0.2800149918,0.2805069983,0.01,215.5240326,52.5446434,PS1,S,no
530112,41.24599838,0.1247999966,0.3159919977,0.3144289851,0,333.5692139,0.9208580256,PS1,host lines in SN spectrum,no
530219,41.48949814,0.1686999947,0.3300249875,0.3284020126,0.01,351.5286255,-0.3194220066,PS1,S,no
540163,41.33549881,0.1140000001,0.3305110037,0.3294369876,0.001,36.07233047,-3.309341908,PS1,H,no
550041,40.50910187,0.1518999934,0.2600220144,0.2584879994,0.01,352.5404358,-0.8664280176,PS1,S,no
550096,40.00960159,0.150000006,0.2250020057,0.2245119959,0.001,52.7766304,-26.39792442,PS1,H,no
550154,40.26670074,0.1274999976,0.2110050023,0.2100339979,0.001,36.35556793,-3.596208096,PS1,H,no
